DiaryNo,CaseType,CaseNo,Year,Court,CauseTitle,CounselFor,PartyName,Mobile,Reference,Status,Date,Fees,Remarks,AttendedBy,NextDate,NextStage,StatusRemark,CNR
"H001","R.P","66","2022","Commissioner HR&CE, Chennai","K.Jegan -Vs- J.C/E.O and others","Respondent 1 (J.C/E.O)","K.Jegan","9840920001","Dept brief","Pending","10.02.2022","","Sri Ramanathaswamy Temple, Rameshwaram","E. Ganesh","11.08.2026","Arguments","",""
"H002","R.P","329","2022","Commissioner HR&CE, Chennai","M.Senthilkumar -Vs- The Thakkar and others","Respondent 2 (E.O)","M. Senthilkumar","9840920002","Dept brief","Pending","14.03.2022","","Sri Ramanathaswamy Temple","E. Ganesh","11.08.2026","Arguments","",""
"H003","R.P","541","2022","Commissioner HR&CE, Chennai","E.R. Kannan -Vs- J.C. Chennai Division-2","Petitioner","E.R. Kannan","9840920003","Walk-in","Pending","20.09.2022","","Dharmaligeshwarar Temple, Nanganallur","E. Ganesh","11.08.2026","Arguments","",""
"H004","R.P","502","2023","Commissioner HR&CE, Chennai","V.Loganathan and 10 others -Vs- JC Tiruppur","Respondents 3 to 11","V. Loganathan","9840920004","Referred","Pending","01.07.2023","","Mariamman Temple, Karuvalur, Avinashi","E. Ganesh","11.08.2026","Arguments","",""
"H005","R.P","191","2025","Commissioner HR&CE, Chennai","N.Suresh and 4 others -Vs- JC Thiruvannamalai","Petitioner","N. Suresh","9840920005","Referred","Pending","20.06.2025","","Prasanna Parvathi Chandra Mouleeswarar Temple","E. Ganesh","11.08.2026","Arguments","",""
"H006","R.P","99","2026","Commissioner HR&CE, Chennai","D.Miyan Sha and 3 others -Vs- JC Thoothukudi","Petitioner","D. Miyan Sha","9840920006","Referred","Pending","20.01.2026","","Sivaprakasa Swamy Temple, Vasudevanallur","E. Ganesh","11.08.2026","Evidence","",""
"H007","R.P","24","2026","Commissioner HR&CE, Chennai","Hindu Nadars Uravinmurai Mahamai Fund -Vs- JC Dindigul","Petitioner","K.K. Harihara Subramanian","9840920007","Referred","Pending","15.11.2025","","Sundara Mahalingaswamy Temple, Peraiyur","E. Ganesh","11.08.2026","Arguments","",""
"H008","A.P","32","2023","Commissioner HR&CE, Chennai","Boopathi Palanisamy and others -Vs- M.Subramani","Petitioner","Boopathi Palanisamy","9840920008","Referred","Pending","05.11.2022","","Kullakarai Muniyappasamy Temple, Anayur","E. Ganesh","11.08.2026","Arguments","",""
"H009","A.P","115","2024","Commissioner HR&CE, Chennai","B.S.Kannan -Vs- J.Ravi","Respondent 2","B.S. Kannan","9840920009","Referred","Pending","01.07.2024","","Vaitheeswaran Temple, Poomalapalayam","E. Ganesh","11.08.2026","Arguments","",""
"H010","A.P","12","2025","Commissioner HR&CE, Chennai","Periyasamy -Vs- A.Anandhan and others","Respondents","Periyasamy","9840920010","Referred","Pending","01.08.2024","","Vinayagar Mariyamman Temple, Tharagampatti","E. Ganesh","11.08.2026","Arguments","",""
"H011","R.P","449","2024","Commissioner HR&CE, Chennai","K.S.Maheswaran and 4 others -Vs- R1,R2 and others","Respondent 4 (E.O)","K.S. Maheswaran","9840920011","Dept brief","Pending","20.09.2024","","Sri Mutharamman Temple, Kulasekarapattinam","E. Ganesh","11.08.2026","Arguments","",""
"H012","R.P","538","2025","Commissioner HR&CE, Chennai","R.Ravichandran -Vs- JC Erode and others","Respondent 3 (Chairman BoT)","R. Ravichandran","9840920012","Dept brief","Pending","01.12.2025","","Immudi Agora Dharma Sivachariya Thirumadam, Nerinjipettai","E. Ganesh","11.08.2026","Arguments","",""
"H013","R.P","192","2026","Commissioner HR&CE, Chennai","A.Mohamed Farook -Vs- JC Thanjavur","Petitioner","A. Mohamed Farook","9840920013","Referred","Pending","10.06.2026","","NOT LISTED 11.08 - control row","E. Ganesh","21.07.2026","Arguments","",""
"H014","R.P","258","2022","Commissioner HR&CE, Chennai","Aadhimoolam and others -Vs- JC Cuddalore","Petitioner","Aadhimoolam","9840920014","Referred","Pending","20.07.2022","","RANGE TEST - printed as 'R.P.Nos.243 to 261 and 262/2022'","E. Ganesh","11.08.2026","Arguments","",""
"H015","R.P","72","2023","Commissioner HR&CE, Chennai","Rajendran and 48 others -Vs- AC Vellore","Petitioner","Rajendran","9840920015","Referred","Pending","01.12.2022","","RANGE TEST - printed as 'R.P.48 to 96/ 2023'","E. Ganesh","11.08.2026","Arguments","",""
"H016","R.P","420","2025","Commissioner HR&CE, Chennai","Adjournment-only matter","Petitioner","Test Party","9840920016","Referred","Pending","01.01.2025","","ADJOURNMENT-ONLY - printed as 'R.P.Nos.412 to 428/2025' in notice, absent from cause list","E. Ganesh","","Arguments","",""
